ra,dec
17.797238,32.701815
17.246726,32.634238
17.823272,33.113433
116.03807,29.247392
43.939384,30.755982
43.766646,32.584481
40.958563,32.475411
43.767176,32.584307
41.067678,31.366692
40.812806,32.424942
41.104947,32.350014
40.887323,32.252853
101.51516,29.347875
142.44306,2.064476
142.42149,2.205517
142.44054,2.206974
142.05088,3.408399
141.44774,2.089711
125.6655882,32.2575407
127.0657683,32.1315447
126.3770625,32.4791803
126.4327803,32.5130006
127.0538459,32.5777292
123.3822414,35.1645687
125.4321788,34.773515
37.4532429,3.5654475
38.2270099,2.9402333
38.2387874,3.3254245
37.638233,3.1760031
37.6840121,2.3744684
38.6845317,1.64753
39.0677033,1.8341963
39.6474823,2.1408397
38.5749673,1.3383653
39.0773549,2.9734291
38.9768121,2.8001708
38.6345872,4.1719382
38.2913631,4.0179983
38.9728709,3.6363254
38.4582686,5.6657833
38.3335313,5.3547762
38.0090742,5.6738403
38.1183599,5.3265732
38.3460798,4.9537733
37.9926746,4.6257689
38.1855783,4.5103589
37.8409104,4.4275319
142.67267,21.45613
170.58842,8.6137646
169.4993209,8.7430428
170.70055,10.14955
171.4911505,10.3859145
171.7659427,10.6097766
170.5927643,11.6701373
177.1891096,10.4783362
176.390095,12.9636018
176.6737597,12.9988267
177.3519052,12.8497874
177.0367213,12.9146031
177.1079288,12.0561004
176.948155,12.3893209
177.274323,12.4480317
176.4289593,12.3797579
177.3443915,12.7688349
177.3779961,12.6770922
176.3720421,11.403332
176.88348,11.7407
177.0321876,11.5135488
176.6315605,11.7783692
176.6121199,12.0161434
178.2710131,12.2101779
177.6496933,10.6919497
178.38717,11.356106
178.2060056,12.4298017
178.08197,12.00943
177.2407078,11.4551246
177.7854877,13.2490792
177.6330422,13.3063022
177.4646244,13.5232215
178.268768,12.9609794
176.7272296,14.9186525
174.616318,12.7403725
175.0750474,12.8327591
175.4354281,13.5269645
174.5269712,13.2303465
176.66824,13.7451195
177.3370341,12.3521612
177.3120078,12.7929121
177.7451132,13.7731217
123.23244,52.36554
123.7315254,50.6626462
166.2061582,13.5148162
166.5734993,13.1742017
166.7483003,13.0881305
166.72774,13.307
166.9051882,13.0881249
166.61125,13.55492
165.2654897,13.8293728
165.8037216,14.6392492
166.6969715,14.7102742
166.3798936,14.7711795
166.4986458,14.8028301
165.96437,14.4292
165.9342398,14.3966174
166.9656939,13.9518162
165.713531,14.3362992
168.6430424,14.9094988
168.465,14.99263
168.22098,14.44788
168.3002655,14.5026709
167.7295193,13.6812228
167.7053595,13.6094598
167.5829908,14.5048027
167.6228849,14.5394773
167.12079,16.20403
164.33029,15.96564
165.15199,15.7569
166.9581,16.61459
167.02603,15.90521
165.44527,16.7591
166.5950697,13.1946951
166.9252649,13.1044596
166.5515703,15.2814492
168.516448,15.0030956
168.4513824,15.0177191
167.4047502,14.4712628
164.5983667,15.3903222
37.4981475,1.7666802
37.4824173,1.8332906
38.1054919,1.3985548
37.9202968,1.7283943
37.7978284,1.6557476
37.7804368,1.1287166
37.1687213,1.3411976
37.0528882,1.4114009
37.0154087,2.8742782
36.6799723,4.0271972
37.1809844,3.8860053
36.9856322,3.9578032
37.6895252,3.6279475
37.4832532,3.6167975
37.8908698,3.8172281
38.2391222,3.6774771
38.4035898,3.6993823
38.3342161,3.0715562
38.0915137,3.0429074
37.5897962,2.9465692
37.6772292,3.3471078
37.4266282,3.3220503
37.4879745,3.3626304
37.4454955,3.4253476
37.6118414,3.2421603
37.9062906,4.0036887
38.4627722,3.3645723
37.9682477,1.9900914
37.5923599,2.2954276
37.7231272,2.2875707
37.6575488,2.2888446
37.3130034,2.6773781
37.6261751,2.209402
37.522556,2.1556311
37.9069365,2.8558242
38.0057437,2.3048548
37.0920732,2.2534764
39.3270055,2.6730124
39.4973616,1.9088314
38.7593199,1.9051632
39.7179333,2.1251674
38.7346962,1.4565128
39.5555278,1.9987462
38.5607361,3.3006758
38.9834784,2.9482371
39.1482495,3.1041007
39.1633441,3.2374029
38.4643772,2.5556216
38.231477,2.5426552
38.3050965,2.5336748
38.2608063,2.350356
38.5675274,3.5026774
38.8342522,4.2066092
38.8773106,4.4064993
38.7164028,4.7278988
38.3019434,4.3298585
38.8702199,3.8881341
38.2756186,4.254323
38.404425,4.0885891
38.4190642,4.2131505
39.0108637,3.424623
39.2801103,3.4176963
36.4888592,2.6956156
39.49119,4.8779317
38.814241,5.6730326
36.1263865,3.5591392
36.7152927,4.3410604
35.8251424,4.3229424
36.2308297,4.5369054
36.0657653,3.7788646
38.0202472,4.9048071
36.9905916,4.2742836
37.1858288,4.4158122
37.5859303,4.0692734
37.3547611,4.3397411
152.048933,16.373791
193.3464851,-3.1356059
194.75023,-2.62855
194.0916041,-2.7884214
