col1,2MASS
2MASXJ08111082+0502403,08111082+0502403
2MASXJ09442536+0546069,09442536+0546069
2MASXJ10252033+0555478,10252033+0555478
2MASXJ10372329+0526181,10372329+0526181
2MASXJ11113415+0501324,11113415+0501324
2MASXJ11153237+0511054,11153237+0511054
2MASXJ11211015+0521481,11211015+0521481
2MASXJ11231063+0533399,11231063+0533399
2MASXJ11253272+0505054,11253272+0505054
2MASXJ11430955+0555575,11430955+0555575
2MASXJ11591684+0523402,11591684+0523402
2MASXJ13020875+0524379,13020875+0524379
2MASXJ13133123+0554551,13133123+0554551
2MASXJ13144905+0549475,13144905+0549475
2MASXJ14203280+0506384,14203280+0506384
2MASXJ15301332+0555412,15301332+0555412
2MASXJ16014141+0547401,16014141+0547401
2MASXJ16113152+0518362,16113152+0518362
2MASXJ16154797+0523024,16154797+0523024
2MASXJ16503719+0545020,16503719+0545020
2MASXJ20492094+0548010,0492094+0548010
2MASXJ21381263+0500334,1381263+0500334
2MASXJ22534608+0554281,534608+0554281
2MASXJ23070021+0517157,3070021+0517157
2MASXJ23102752+0543213,3102752+0543213
2MASXJ23165655+0542189,3165655+0542189
2MASXJ23394437+0505467,3394437+0505467
2MASXJ23453569+0525243,3453569+0525243
2MASXJ23504027+0518015,3504027+0518015
2MASXJ00015740+0409181,00015740+0409181
2MASXJ00024956+0424345,00024956+0424345
2MASXJ00042049+0428445,00042049+0428445
2MASXJ00132848+0436005,00132848+0436005
2MASXJ00160874+0451263,00160874+0451263
2MASXJ00195147+0438153,00195147+0438153
2MASXJ02251747+0426364,02251747+0426364
2MASXJ02350949+0456067,02350949+0456067
2MASXJ02354182+0403063,02354182+0403063
2MASXJ02370073+0414321,02370073+0414321
2MASXJ02383885+0402436,02383885+0402436
2MASXJ03032391+0434414,03032391+0434414
2MASXJ03054843+0449125,03054843+0449125
2MASXJ03082522+0456568,03082522+0456568
2MASXJ03085124+0415042,03085124+0415042
2MASXJ03092736+0401260,03092736+0401260
2MASXJ03150093+0452144,03150093+0452144
2MASXJ03301172+0458239,03301172+0458239
2MASXJ03313536+0440321,03313536+0440321
2MASXJ03484176+0426031,03484176+0426031
2MASXJ04144881+0418243,04144881+0418243
2MASXJ09492665+0400117,09492665+0400117
2MASXJ10004081+0420207,10004081+0420207
2MASXJ10534734+0405541,10534734+0405541
2MASXJ10553246+0427124,10553246+0427124
2MASXJ11013192+0422389,11013192+0422389
2MASXJ11041654+0452098,11041654+0452098
2MASXJ11145351+0405375,11145351+0405375
2MASXJ11374755+0448370,11374755+0448370
2MASXJ11551334+0435534,11551334+0435534
2MASXJ12025559+0414029,12025559+0414029
