col1,2MASS
2MASXJ00340571+0521078,00340571+0521078
2MASXJ02345906+0538006,02345906+0538006
2MASXJ02380715+0542120,02380715+0542120
2MASXJ02553917+0549297,02553917+0549297
2MASXJ03020856+0505095,03020856+0505095
2MASXJ03022335+0551455,03022335+0551455
2MASXJ03034069+0549292,03034069+0549292
2MASXJ03083197+0534538,03083197+0534538
2MASXJ03174374+0538493,03174374+0538493
2MASXJ03250774+0514056,03250774+0514056
2MASXJ03550796+0504535,03550796+0504535
2MASXJ08103080+0515368,08103080+0515368
2MASXJ08131279+0503052,08131279+0503052
2MASXJ09200289+0544085,09200289+0544085
2MASXJ09235547+0544293,09235547+0544293
2MASXJ10291021+0508228,10291021+0508228
2MASXJ10385172+0540123,10385172+0540123
2MASXJ10391616+0529133,10391616+0529133
2MASXJ11205683+0524585,11205683+0524585
2MASXJ11221042+0525028,11221042+0525028
2MASXJ12403249+0521206,12403249+0521206
2MASXJ12542098+0516579,12542098+0516579
2MASXJ13005727+0531572,13005727+0531572
2MASXJ13024433+0530246,13024433+0530246
2MASXJ13240961+0515353,13240961+0515353
2MASXJ13475076+0527308,13475076+0527308
2MASXJ13501127+0553306,13501127+0553306
2MASXJ13553592+0553050,13553592+0553050
2MASXJ14091099+0548273,14091099+0548273
2MASXJ15355366+0545570,15355366+0545570
2MASXJ22343478+0549025,343478+0549025
2MASXJ22430641+0527080,430641+0527080
2MASXJ22585476+0558526,585476+0558526
2MASXJ23051541+0537036,3051541+0537036
2MASXJ23092308+0545270,3092308+0545270
2MASXJ23100806+0543308,3100806+0543308
2MASXJ23244302+0556333,3244302+0556333
2MASXJ23322568+0550576,3322568+0550576
2MASXJ23584092+0551210,3584092+0551210
2MASXJ00010478+0432261,00010478+0432261
2MASXJ00034478+0417534,00034478+0417534
2MASXJ00192345+0414304,00192345+0414304
2MASXJ01204667+0422456,01204667+0422456
2MASXJ01313776+0426520,01313776+0426520
2MASXJ01351356+0414449,01351356+0414449
2MASXJ02233346+0440579,02233346+0440579
2MASXJ02283783+0418236,02283783+0418236
2MASXJ02310073+0446080,02310073+0446080
2MASXJ02324776+0447405,02324776+0447405
2MASXJ02361899+0417280,02361899+0417280
2MASXJ02365498+0412545,02365498+0412545
2MASXJ03202316+0408550,03202316+0408550
2MASXJ08224116+0415443,08224116+0415443
2MASXJ10183145+0449138,10183145+0449138
2MASXJ10223345+0412593,10223345+0412593
2MASXJ10272393+0420340,10272393+0420340
2MASXJ11010471+0429099,11010471+0429099
2MASXJ11214701+0407109,11214701+0407109
2MASXJ11220815+0441339,11220815+0441339
2MASXJ11222742+0417129,11222742+0417129
2MASXJ11271913+0417000,11271913+0417000
2MASXJ11545802+0439381,11545802+0439381
2MASXJ12014104+0446107,12014104+0446107
2MASXJ12022296+0419473,12022296+0419473
2MASXJ12212692+0452384,12212692+0452384
2MASXJ12432344+0411022,12432344+0411022
2MASXJ12444272+0404121,12444272+0404121
2MASXJ12473783+0431118,12473783+0431118
2MASXJ12550778+0402252,12550778+0402252
2MASXJ12570675+0435302,12570675+0435302
2MASXJ12582116+0453082,12582116+0453082
2MASXJ13063419+0408369,13063419+0408369
2MASXJ13072786+0445465,13072786+0445465
2MASXJ13173743+0429081,13173743+0429081
2MASXJ13242823+0446298,13242823+0446298
2MASXJ13262400+0427557,13262400+0427557
2MASXJ13330425+0458540,13330425+0458540
2MASXJ13444134+0456314,13444134+0456314
2MASXJ13584806+0454272,13584806+0454272
2MASXJ14000903+0404510,14000903+0404510
2MASXJ15391964+0452069,15391964+0452069
2MASXJ22462317+0432400,462317+0432400
2MASXJ22561699+0421584,561699+0421584
2MASXJ22562628+0415234,562628+0415234
2MASXJ22571828+0427529,571828+0427529
2MASXJ23011705+0452350,3011705+0452350
2MASXJ23271612+0446036,3271612+0446036
2MASXJ23502783+0406585,3502783+0406585
2MASXJ00155753+0329299,00155753+0329299
2MASXJ00504745+0306168,00504745+0306168
2MASXJ02240755+0312224,02240755+0312224
2MASXJ02241436+0316064,02241436+0316064
2MASXJ02315526+0307317,02315526+0307317
2MASXJ03015048+0332057,03015048+0332057
2MASXJ03172286+0311250,03172286+0311250
2MASXJ04180472+0318054,04180472+0318054
2MASXJ09033338+0322330,09033338+0322330
2MASXJ09033992+0322110,09033992+0322110
2MASXJ09040369+0335054,09040369+0335054
2MASXJ09291524+0319588,09291524+0319588
2MASXJ09484114+0322287,09484114+0322287
2MASXJ09514507+0316206,09514507+0316206
2MASXJ09561546+0346147,09561546+0346147
2MASXJ10520272+0309582,10520272+0309582
2MASXJ11043142+0343078,11043142+0343078
2MASXJ11045938+0302447,11045938+0302447
2MASXJ11052986+0339360,11052986+0339360
2MASXJ11173103+0301565,11173103+0301565
2MASXJ11192624+0312052,11192624+0312052
2MASXJ11223767+0307098,11223767+0307098
2MASXJ11235510+0305548,11235510+0305548
2MASXJ11245537+0310068,11245537+0310068
2MASXJ11250254+0328586,11250254+0328586
2MASXJ11260946+0329539,11260946+0329539
2MASXJ11293733+0309227,11293733+0309227
2MASXJ12435628+0336591,12435628+0336591
2MASXJ12512565+0351598,12512565+0351598
2MASXJ14030978+0358514,14030978+0358514
2MASXJ14393320+0313249,14393320+0313249
2MASXJ14530723+0332171,14530723+0332171
2MASXJ14535472+0301050,14535472+0301050
2MASXJ14540805+0312496,14540805+0312496
2MASXJ14583391+0331069,14583391+0331069
2MASXJ15051619+0305126,15051619+0305126
